Time,UserID,Stress raw score,Stress min score,Stress max score,Stress scaled score,Engagement boredom raw score,Engagement boredom min score,Engagement boredom max score,Engagement boredom scaled score,Relaxation raw score,Relaxation min score,Relaxation max score,Relaxation scaled score,Excitement raw score,Excitement min score,Excitement max score,Excitement scaled score,Interest raw score,Interest min score,Interest max score,Interest scaled score,
0.0641485,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
0.531062,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
0.655745,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
0.780229,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
0.905112,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
0.905112,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.0302,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.15528,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.28006,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.40455,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.52923,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.65411,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.7791,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
1.90418,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.02966,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.40481,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.46706,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.5293,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.62316,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.65428,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.77937,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
2.90455,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
3.02963,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
3.15532,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
3.28808,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
3.41276,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
3.53765,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
4.03818,8192,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,0,0,0,???,
